COD,Horário Inicial,Horário final,TEMPO,TEMPO (MIN),TEMPO(ROT),Qtd peças conformes,Qtd peças não conformes,Observações,Data,Turno,Digitador
192,07:00,08:00,01:00:00,60,#N/A,,,,22/1/2020,T1,Willian Zomer
2047860,08:00,10:00,02:00:00,120,47,1,,,22/1/2020,T1,Willian Zomer
2008164,10:00,11:30,01:30:00,90,42,8,,,22/1/2020,T1,Willian Zomer
180,11:30,12:40,01:10:00,70,#N/A,,,,22/1/2020,T1,Willian Zomer
192,12:40,14:00,01:20:00,80,#N/A,,,,22/1/2020,T1,Willian Zomer
2047860,14:00,15:00,01:00:00,60,47,1,,,22/1/2020,T1,Willian Zomer
192,15:00,16:00,01:00:00,60,#N/A,,,,22/1/2020,T1,Willian Zomer
2047860,16:00,17:00,01:00:00,60,47,1,,,22/1/2020,T1,Willian Zomer
192,17:05,18:29,01:24:00,84,#N/A,,,,22/1/2020,T2,Willian Zomer
2047860,18:30,19:11,00:41:00,41,47,1,,,22/1/2020,T2,Willian Zomer
181,19:12,20:30,01:18:00,78,#N/A,,,,22/1/2020,T2,Willian Zomer
2050430,21:54,22:15,00:21:00,21,12,1,,,22/1/2020,T2,Willian Zomer
201,22:15,23:56,01:41:00,101,#N/A,,,,22/1/2020,T2,Willian Zomer
192,23:57,00:14,00:17:00,17,#N/A,,,,22/1/2020,T2,Willian Zomer
2050430,00:14,00:32,00:18:00,18,12,1,,,22/1/2020,T2,Willian Zomer
192,00:32,01:21,00:49:00,49,#N/A,,,,22/1/2020,T2,Willian Zomer
2047860,01:21,02:10,00:49:00,49,47,1,,,22/1/2020,T2,Willian Zomer
2008164,07:00,08:30,01:30:00,90,42,8,,,23/1/2020,T1,Willian Zomer
192,08:50,09:00,00:10:00,10,#N/A,,,,23/1/2020,T1,Willian Zomer
2050430,09:00,09:25,00:25:00,25,12,1,,,23/1/2020,T1,Willian Zomer
201,09:25,10:00,00:35:00,35,#N/A,,,,23/1/2020,T1,Willian Zomer
2008164,10:00,11:15,01:15:00,75,42,8,,,23/1/2020,T1,Willian Zomer
2050430,11:15,11:30,00:15:00,15,12,1,,,23/1/2020,T1,Willian Zomer
192,11:30,11:50,00:20:00,20,#N/A,,,,23/1/2020,T1,Willian Zomer
180,11:50,13:00,01:10:00,70,#N/A,,,,23/1/2020,T1,Willian Zomer
192,13:00,13:30,00:30:00,30,#N/A,,,,23/1/2020,T1,Willian Zomer
2047860,13:30,14:15,00:45:00,45,47,1,,,23/1/2020,T1,Willian Zomer
2050430,14:30,14:45,00:15:00,15,12,1,,,23/1/2020,T1,Willian Zomer
192,14:15,14:30,00:15:00,15,#N/A,,,,23/1/2020,T1,Willian Zomer
2008164,14:30,15:15,00:45:00,45,42,8,,Continuação PVA A21045 Barrote,23/1/2020,T1,Willian Zomer
201,15:15,16:00,00:45:00,45,#N/A,,,,23/1/2020,T1,Willian Zomer
2008164,16:00,17:10,01:10:00,70,42,8,,,23/1/2020,T1,Willian Zomer
192,17:10,18:06,00:56:00,56,#N/A,,,,23/1/2020,T2,Willian Zomer
2050430,18:07,18:24,00:17:00,17,12,1,,Frontal 2050430-0,23/1/2020,T2,Willian Zomer
192,18:25,19:21,00:56:00,56,#N/A,,,,23/1/2020,T2,Willian Zomer
2047860,19:21,20:06,00:45:00,45,47,1,,Porta Lateral,23/1/2020,T2,Willian Zomer
192,20:07,20:31,00:24:00,24,#N/A,,,,23/1/2020,T2,Willian Zomer
2050430,21:30,21:51,00:21:00,21,12,1,,Frontal 2050430-0,23/1/2020,T2,Willian Zomer
